Lieu : Mnémonique;Programme : Code;Programme : Libellé;Programme : Etat;Programme : Date de création;Programme : Droit : Personne : Responsable : NOM Prénom : Liste
048-S-066;BLOOMS;Suivi des macroalgues opportunistes;Actif;22/07/2013;BALLU Sylvain
048-P-034;DECHETS_SEDIMENTS_MICROPLASTIQUES_ROCCH;ROCCH sédiment - volet Microplastiques;Actif;24/06/2024;GROUHEL-PELLOUIN Anne
048-P-006;ERIKAC;Suivi chimique ERIKA;Gelé;05/06/2008;GROUHEL-PELLOUIN Anne
048-S-057;POMET;POissons des Masses d'Eau de Transition;Actif;04/01/2013;LEPAGE Mario
048-P-006;PRESTI;Suivi chimique PRESTIGE;Gelé;05/06/2008;GROUHEL-PELLOUIN Anne
048-P-025;REB;Réseau complémentaire des estuaires bretons;Gelé;11/07/2016;HENO Yves-Marie
048-P-094;REBENT_ALG;REBENT Stationnel Macroalgues;Actif;10/09/2009;DERRIEN Sandrine
048-P-073;REBENT_FAU;REBENT Stationnel Macrofaune;Actif;18/05/2009;DUVAL Magali|FOVEAU Aurelie|MAUREL Laurence
048-S-122;REEHAB;Suivi des formations récifales à S. alveolata;Actif;23/11/2020;CORDIER Celine|DUBOIS Stanislas
048-P-006;REMIC;REMI Contrôle - 1998-2011;Gelé;05/06/2008;KAELIN Gaelle|REYNAUD Yann|ROCQ Sophie
048-P-004;REMIE1;REMI Etudes classement;Actif;05/06/2008;KAELIN Gaelle|REYNAUD Yann|ROCQ Sophie
048-P-009;REMIE2;REMI Etudes microbiologiques;Gelé;05/06/2008;KAELIN Gaelle|REYNAUD Yann|ROCQ Sophie
048-P-004;REMIS;REMI Surveillance - 1987-1998;Gelé;05/06/2008;KAELIN Gaelle|REYNAUD Yann|ROCQ Sophie
048-P-004;REMI-SURV;REMI Surveillance - à partir de 2011;Actif;25/03/2011;KAELIN Gaelle|REYNAUD Yann|ROCQ Sophie
048-P-050;REPHY;REPHY Phytoplancton et Physico-Chimie;Actif;05/06/2008;DUVAL Magali|FATRAS Lucas|LE MOIGNE Morgan|LE ROUX Alois|LEMOINE Maud|MANACH Soazig|MAUREL Laurence|NEAUD-MASSON Nadine
048-P-009;REPHYTOX;REPHY Phycotoxines surveillance officielle;Actif;01/10/2010;DERRIEN Amelie|LE MOIGNE Morgan|LEMOINE Maud|NEAUD-MASSON Nadine
048-P-004;REPHYTOX-AUTOCONTROLES;REPHYTOX résultats des autocontroles hors surveillance officielle;Actif;22/11/2019;LE MOIGNE Morgan|LEMOINE Maud|NEAUD-MASSON Nadine
048-P-027;RNOMV;RNO Matière Vivante puis ROCCH Matière Vivante;Actif;05/06/2008;GROUHEL-PELLOUIN Anne
048-P-012;RNOPHY;RNO Physiologie;Actif;05/06/2008;GROUHEL-PELLOUIN Anne
048-P-055;RNOSED;RNO puis ROCCH sédiment;Actif;05/06/2008;GROUHEL-PELLOUIN Anne
048-P-023;ROCCHEAUCHIMIE;ROCCH contaminants dans l'eau;Gelé;14/04/2010;GROUHEL-PELLOUIN Anne
