"Programme : Code";"Programme : Libellé";"Programme : Description";"Programme : Commentaire";"Programme : Etat";"Programme : Date de création";"Programme : Date de mise à jour";"Lieu : Identifiant";"Lieu : Mnémonique";"Lieu : Libellé";"Lieu : Etat";"Lieu : Date de mise à jour";"Programme : Moratoire";"Programme : Code SANDRE : Import";"Programme : Libellé SANDRE : Import";"Programme : Code SANDRE : Export";"Programme : Libellé SANDRE : Export";"Programme : Droit : Personne : Responsable : NOM Prénom : Liste";"Programme : Droit : Personne : Saisisseur : NOM Prénom : Liste";"Programme : Droit : Personne : Consultation Intégrale : NOM Prénom : Liste";"Programme : Droit : Personne : Consultation : NOM Prénom : Liste";"Programme : Droit : Personne : Valideur : NOM Prénom : Liste";"Programme : Droit : Service : Responsable : Code Libellé : Liste";"Programme : Droit : Service : Saisisseur : Code Libellé : Liste";"Programme : Droit : Service : Consultation Intégrale : Code Libellé : Liste";"Programme : Droit : Service : Consultation : Code Libellé : Liste";"Programme : Droit : Service : Valideur : Code Libellé : Liste"
"AAMP_PHYTOPLANCTON";"AAMP suivi du phytoplancton";"AAMP suivi du phytoplancton";"Coordination métropole : Annie BIROLLEAU (OFB) . Coordination Océan Indien : Magali DUVAL (Ifremer/DOI)";"Actif";"24/03/2015";"28/11/2024";"60007675";"037-P-064";"PNMIR B3";"Actif";"13/11/2018";"Non";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"BIROLLEAU Annie|DUVAL Magali";"DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"BRUN Melanie|DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith|SOUDANT Dominique";"KERNINON Fanny";"MAUREL Laurence";"";"HYDROREUNION - Bureau d'études HYDROREUNION - Antenne de Saint-Denis, La Réunion|OFB-PNMI - Office Français de la Biodiversité - Parc Naturel Marin d'Iroise|OFB-PNMMAY - Office Français de la Biodiversité - Parc Naturel Marin de Mayotte";"";"";""
"AAMP_PHYTOPLANCTON";"AAMP suivi du phytoplancton";"AAMP suivi du phytoplancton";"Coordination métropole : Annie BIROLLEAU (OFB) . Coordination Océan Indien : Magali DUVAL (Ifremer/DOI)";"Actif";"24/03/2015";"28/11/2024";"60010314";"037-P-121";"PNMIR B7";"Actif";"03/12/2018";"Non";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"BIROLLEAU Annie|DUVAL Magali";"DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"BRUN Melanie|DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith|SOUDANT Dominique";"KERNINON Fanny";"MAUREL Laurence";"";"HYDROREUNION - Bureau d'études HYDROREUNION - Antenne de Saint-Denis, La Réunion|OFB-PNMI - Office Français de la Biodiversité - Parc Naturel Marin d'Iroise|OFB-PNMMAY - Office Français de la Biodiversité - Parc Naturel Marin de Mayotte";"";"";""
"AAMP_PHYTOPLANCTON";"AAMP suivi du phytoplancton";"AAMP suivi du phytoplancton";"Coordination métropole : Annie BIROLLEAU (OFB) . Coordination Océan Indien : Magali DUVAL (Ifremer/DOI)";"Actif";"24/03/2015";"28/11/2024";"60008233";"152-P-004";"Grande Glorieuse 3 (GG3)";"Actif";"08/11/2018";"Non";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"BIROLLEAU Annie|DUVAL Magali";"DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"BRUN Melanie|DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith|SOUDANT Dominique";"KERNINON Fanny";"MAUREL Laurence";"";"HYDROREUNION - Bureau d'études HYDROREUNION - Antenne de Saint-Denis, La Réunion|OFB-PNMI - Office Français de la Biodiversité - Parc Naturel Marin d'Iroise|OFB-PNMMAY - Office Français de la Biodiversité - Parc Naturel Marin de Mayotte";"";"";""
"AAMP_PHYTOPLANCTON";"AAMP suivi du phytoplancton";"AAMP suivi du phytoplancton";"Coordination métropole : Annie BIROLLEAU (OFB) . Coordination Océan Indien : Magali DUVAL (Ifremer/DOI)";"Actif";"24/03/2015";"28/11/2024";"60008239";"152-P-010";"Grande Glorieuse 7 - Rocher Sud (GG7_G3)";"Actif";"08/11/2018";"Non";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"BIROLLEAU Annie|DUVAL Magali";"DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"BRUN Melanie|DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith|SOUDANT Dominique";"KERNINON Fanny";"MAUREL Laurence";"";"HYDROREUNION - Bureau d'études HYDROREUNION - Antenne de Saint-Denis, La Réunion|OFB-PNMI - Office Français de la Biodiversité - Parc Naturel Marin d'Iroise|OFB-PNMMAY - Office Français de la Biodiversité - Parc Naturel Marin de Mayotte";"";"";""
"AAMP_PHYTOPLANCTON";"AAMP suivi du phytoplancton";"AAMP suivi du phytoplancton";"Coordination métropole : Annie BIROLLEAU (OFB) . Coordination Océan Indien : Magali DUVAL (Ifremer/DOI)";"Actif";"24/03/2015";"28/11/2024";"60007673";"039-P-203";"PNMIR B1";"Actif";"13/11/2018";"Non";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"BIROLLEAU Annie|DUVAL Magali";"DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"BRUN Melanie|DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith|SOUDANT Dominique";"KERNINON Fanny";"MAUREL Laurence";"";"HYDROREUNION - Bureau d'études HYDROREUNION - Antenne de Saint-Denis, La Réunion|OFB-PNMI - Office Français de la Biodiversité - Parc Naturel Marin d'Iroise|OFB-PNMMAY - Office Français de la Biodiversité - Parc Naturel Marin de Mayotte";"";"";""
"AAMP_PHYTOPLANCTON";"AAMP suivi du phytoplancton";"AAMP suivi du phytoplancton";"Coordination métropole : Annie BIROLLEAU (OFB) . Coordination Océan Indien : Magali DUVAL (Ifremer/DOI)";"Actif";"24/03/2015";"28/11/2024";"60007677";"037-P-107";"PNMIR B5";"Actif";"13/11/2018";"Non";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"BIROLLEAU Annie|DUVAL Magali";"DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"BRUN Melanie|DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith|SOUDANT Dominique";"KERNINON Fanny";"MAUREL Laurence";"";"HYDROREUNION - Bureau d'études HYDROREUNION - Antenne de Saint-Denis, La Réunion|OFB-PNMI - Office Français de la Biodiversité - Parc Naturel Marin d'Iroise|OFB-PNMMAY - Office Français de la Biodiversité - Parc Naturel Marin de Mayotte";"";"";""
"AAMP_PHYTOPLANCTON";"AAMP suivi du phytoplancton";"AAMP suivi du phytoplancton";"Coordination métropole : Annie BIROLLEAU (OFB) . Coordination Océan Indien : Magali DUVAL (Ifremer/DOI)";"Actif";"24/03/2015";"28/11/2024";"60007679";"040-P-050";"PNMIR D1";"Actif";"13/11/2018";"Non";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"BIROLLEAU Annie|DUVAL Magali";"DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"BRUN Melanie|DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith|SOUDANT Dominique";"KERNINON Fanny";"MAUREL Laurence";"";"HYDROREUNION - Bureau d'études HYDROREUNION - Antenne de Saint-Denis, La Réunion|OFB-PNMI - Office Français de la Biodiversité - Parc Naturel Marin d'Iroise|OFB-PNMMAY - Office Français de la Biodiversité - Parc Naturel Marin de Mayotte";"";"";""
"AAMP_PHYTOPLANCTON";"AAMP suivi du phytoplancton";"AAMP suivi du phytoplancton";"Coordination métropole : Annie BIROLLEAU (OFB) . Coordination Océan Indien : Magali DUVAL (Ifremer/DOI)";"Actif";"24/03/2015";"28/11/2024";"60007682";"038-P-027";"PNMIR D4";"Actif";"13/11/2018";"Non";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"BIROLLEAU Annie|DUVAL Magali";"DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"BRUN Melanie|DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith|SOUDANT Dominique";"KERNINON Fanny";"MAUREL Laurence";"";"HYDROREUNION - Bureau d'études HYDROREUNION - Antenne de Saint-Denis, La Réunion|OFB-PNMI - Office Français de la Biodiversité - Parc Naturel Marin d'Iroise|OFB-PNMMAY - Office Français de la Biodiversité - Parc Naturel Marin de Mayotte";"";"";""
"AAMP_PHYTOPLANCTON";"AAMP suivi du phytoplancton";"AAMP suivi du phytoplancton";"Coordination métropole : Annie BIROLLEAU (OFB) . Coordination Océan Indien : Magali DUVAL (Ifremer/DOI)";"Actif";"24/03/2015";"28/11/2024";"60008242";"152-P-013";"Station GCRMN 5 (GLO5)";"Actif";"08/11/2018";"Non";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"BIROLLEAU Annie|DUVAL Magali";"DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"BRUN Melanie|DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith|SOUDANT Dominique";"KERNINON Fanny";"MAUREL Laurence";"";"HYDROREUNION - Bureau d'études HYDROREUNION - Antenne de Saint-Denis, La Réunion|OFB-PNMI - Office Français de la Biodiversité - Parc Naturel Marin d'Iroise|OFB-PNMMAY - Office Français de la Biodiversité - Parc Naturel Marin de Mayotte";"";"";""
"AAMP_PHYTOPLANCTON";"AAMP suivi du phytoplancton";"AAMP suivi du phytoplancton";"Coordination métropole : Annie BIROLLEAU (OFB) . Coordination Océan Indien : Magali DUVAL (Ifremer/DOI)";"Actif";"24/03/2015";"28/11/2024";"60007678";"037-P-108";"PNMIR B6";"Actif";"13/11/2018";"Non";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"0000000184";"Réseau de suivi de l'AAMP - Suivi du phytoplancton";"BIROLLEAU Annie|DUVAL Magali";"DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"BRUN Melanie|DURAND Gaetane|FARI Chloe|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith|SOUDANT Dominique";"KERNINON Fanny";"MAUREL Laurence";"";"HYDROREUNION - Bureau d'études HYDROREUNION - Antenne de Saint-Denis, La Réunion|OFB-PNMI - Office Français de la Biodiversité - Parc Naturel Marin d'Iroise|OFB-PNMMAY - Office Français de la Biodiversité - Parc Naturel Marin de Mayotte";"";"";""
